ligand,case_name,run_tag,mode,variant,setting,quality,tts_0p99_sec,validity_rate,success_rate,embedding_cached,n_reads,n_report_rows,n_valid,n_success_valid
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r1_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.931,0.0017039294240024,0.948,0.9820675105485231,True,1000,948,948,931
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r1_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.893,0.0020452400798182,1.0,0.893,True,1000,1000,1000,893
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r1_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.923,0.0017769759486794,0.943,0.9787910922587488,True,1000,943,943,923
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r1_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.884,0.0021220460194614,1.0,0.884,True,1000,1000,1000,884
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r1_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.922,0.0017859640406167,0.941,0.9798087141339,True,1000,941,941,922
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r1_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.891,0.0020624536160123,1.0,0.891,True,1000,1000,1000,891
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r1_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.935,0.0016668363771697,0.954,0.980083857442348,True,1000,954,954,935
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r1_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.859,0.0023334600359867,1.0,0.859,True,1000,1000,1000,859
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r1_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.855,0.0023593175615442,0.965,0.8860103626943006,True,1000,965,965,855
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r1_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.801,0.0028313369612101,1.0,0.801,True,1000,1000,1000,801
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r1_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.955,0.0014690953251625,0.965,0.9896373056994818,True,1000,965,965,955
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r1_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.859,0.0023332719734639,1.0,0.859,True,1000,1000,1000,859
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r2_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.922,0.001785819623954,0.955,0.9654450261780104,True,1000,955,955,922
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r2_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.892,0.0020537885254981,1.0,0.892,True,1000,1000,1000,892
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r2_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.955,0.0014691844260794,0.967,0.9875904860392968,True,1000,967,967,955
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r2_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.849,0.0024180358803017,1.0,0.849,True,1000,1000,1000,849
