mode,ligand,run_tag,run_idx,k_dist,k_mono,edge_cutoff,lagrange_multiplier,bqm_offset,n_samples,unique_samples,unique_sample_ratio,avg_selected_vars,energy_min,energy_avg,n_poses,mRMSD,avg_RMSD,success_rate,validity_rate,strict_success_rate,t_run_sec,tts_99_success_sec,tts_99_strict_sec,eval_elapsed_sec,sampler,solver,time_limit_sec,label,problem_id,problem_label,problem_data_id,qpu_access_sec,qpu_sampling_sec,run_time_sec,charge_time_sec,bqm_num_variables,bqm_num_interactions,spec_counts,embedding_path,embedding_hash,physical_qubits,max_chain_length,cqm_root,sample_root,eval_root,spec_path,samples_path,meta_path,report_csv,result_json
opt,3nq9,cqm_opt_bqm_lm1_r1_20260126_001043,1,1.5,18.0,1.87,1.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.3709,5.3709,0.0,1.0,0.0,1.84895,,,0.097,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,9675e157-3a1e-4c6d-90cf-2a9db4f6b19e,QDock FAM CQM-to-BQM hybrid,d17e8e41-2859-4634-91cc-5ce0726d5345,1.84895,,29.988368,29.988368,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r1_20260126_001043/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r1_20260126_001043/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r1_20260126_001043/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r1_20260126_001043/result.json
opt,3nq9,cqm_opt_bqm_lm1_r2_20260126_001200,2,1.5,18.0,1.87,1.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.5935,5.5935,0.0,1.0,0.0,1.902093,,,0.092,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,8e99b7e4-a420-450b-b76a-3468a4ed9679,QDock FAM CQM-to-BQM hybrid,ce1d5a62-526c-49df-9ca0-37f43a35a3c7,1.902093,,29.986937,29.986937,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r2_20260126_001200/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r2_20260126_001200/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r2_20260126_001200/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r2_20260126_001200/result.json
opt,3nq9,cqm_opt_bqm_lm1_r3_20260126_001313,3,1.5,18.0,1.87,1.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.7046,5.7046,0.0,1.0,0.0,1.996274,,,0.093,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,d569b99a-6909-47af-a37a-8cd178c9207c,QDock FAM CQM-to-BQM hybrid,2782dd74-2e89-43b8-ad58-43c4686e4b0b,1.996274,,29.98682,29.98682,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r3_20260126_001313/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r3_20260126_001313/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r3_20260126_001313/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r3_20260126_001313/result.json
opt,3nq9,cqm_opt_bqm_lm1_r4_20260126_001426,4,1.5,18.0,1.87,1.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.5602,5.5602,0.0,1.0,0.0,1.991268,,,0.096,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,3a83da86-7633-4d97-9cb0-f8cbb6503b85,QDock FAM CQM-to-BQM hybrid,0da60273-d718-4cfd-b80a-938007a72baf,1.991268,,29.996133,29.996133,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r4_20260126_001426/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r4_20260126_001426/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r4_20260126_001426/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r4_20260126_001426/result.json
opt,3nq9,cqm_opt_bqm_lm1_r5_20260126_001540,5,1.5,18.0,1.87,1.0,0.0,1,1,1.0,8,-4.0,-4.0,1,7.6233,7.6233,0.0,1.0,0.0,1.952502,,,0.095,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,d248a6ce-b71d-4ee0-a442-baea198586a0,QDock FAM CQM-to-BQM hybrid,28b23d08-6a76-416b-b06b-178de805e9ec,1.952502,,29.99454,29.99454,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r5_20260126_001540/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm1_r5_20260126_001540/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r5_20260126_001540/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm1_r5_20260126_001540/result.json
opt,3nq9,cqm_opt_bqm_lm3_r1_20260126_001653,1,1.5,18.0,1.87,3.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.7627,5.7627,0.0,1.0,0.0,1.693793,,,0.096,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,c09e1f56-07ed-47b8-a35c-f24bdb7bdabb,QDock FAM CQM-to-BQM hybrid,8d92b1ab-2d58-4d4c-b910-ed46fc91f441,1.693793,,29.995653,29.995653,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r1_20260126_001653/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r1_20260126_001653/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r1_20260126_001653/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r1_20260126_001653/result.json
opt,3nq9,cqm_opt_bqm_lm3_r2_20260126_001808,2,1.5,18.0,1.87,3.0,0.0,1,1,1.0,8,-4.0,-4.0,1,4.2022,4.2022,0.0,1.0,0.0,1.949558,,,0.097,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,c6b404bd-899d-44a2-b4e5-22425342b7e7,QDock FAM CQM-to-BQM hybrid,812e1e52-881d-4e66-8cb0-7bd6aede96b5,1.949558,,29.99357,29.99357,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r2_20260126_001808/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r2_20260126_001808/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r2_20260126_001808/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r2_20260126_001808/result.json
opt,3nq9,cqm_opt_bqm_lm3_r3_20260126_002021,3,1.5,18.0,1.87,3.0,0.0,1,1,1.0,8,-4.0,-4.0,1,3.2812,3.2812,0.0,1.0,0.0,1.945003,,,0.098,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,2be75075-6044-43f4-8ff4-3e2b24fb6342,QDock FAM CQM-to-BQM hybrid,b6b0fbb7-a6c8-4766-9a43-a00856b0a8d4,1.945003,,29.989087,29.989087,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r3_20260126_002021/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r3_20260126_002021/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r3_20260126_002021/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r3_20260126_002021/result.json
opt,3nq9,cqm_opt_bqm_lm3_r4_20260126_002136,4,1.5,18.0,1.87,3.0,0.0,1,1,1.0,8,-4.0,-4.0,1,3.5043,3.5043,0.0,1.0,0.0,1.854617,,,0.123,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,8d27d87d-1d83-4257-83be-768cf0c90293,QDock FAM CQM-to-BQM hybrid,266da495-619c-4b38-ba54-8cef70d946c7,1.854617,,29.991179,29.991179,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r4_20260126_002136/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r4_20260126_002136/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r4_20260126_002136/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r4_20260126_002136/result.json
opt,3nq9,cqm_opt_bqm_lm3_r5_20260126_002249,5,1.5,18.0,1.87,3.0,0.0,1,1,1.0,8,-4.0,-4.0,1,3.6155,3.6155,0.0,1.0,0.0,1.953191,,,0.148,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,47d3672e-eb16-42d8-b02e-d9a1780310c2,QDock FAM CQM-to-BQM hybrid,5594894b-9fd5-47a7-815e-f404db2cd2b7,1.953191,,29.985783,29.985783,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r5_20260126_002249/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm3_r5_20260126_002249/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r5_20260126_002249/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm3_r5_20260126_002249/result.json
opt,3nq9,cqm_opt_bqm_lm10_r1_20260126_002403,1,1.5,18.0,1.87,10.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.505,5.505,0.0,1.0,0.0,1.945452,,,0.098,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,bfcf98c1-1eaa-49f7-ac76-888aa5e2b597,QDock FAM CQM-to-BQM hybrid,4c597499-c6a1-440e-801b-8ca4fd6a4a4c,1.945452,,29.99237,29.99237,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r1_20260126_002403/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r1_20260126_002403/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r1_20260126_002403/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r1_20260126_002403/result.json
opt,3nq9,cqm_opt_bqm_lm10_r2_20260126_002516,2,1.5,18.0,1.87,10.0,0.0,1,1,1.0,8,-4.0,-4.0,1,2.4751,2.4751,0.0,1.0,0.0,1.939356,,,0.096,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,a25d3836-0624-464b-953a-4447be34be02,QDock FAM CQM-to-BQM hybrid,8b704fed-a46a-48d7-a364-940418cd4014,1.939356,,29.997324,29.997324,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r2_20260126_002516/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r2_20260126_002516/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r2_20260126_002516/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r2_20260126_002516/result.json
opt,3nq9,cqm_opt_bqm_lm10_r3_20260126_002630,3,1.5,18.0,1.87,10.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.6223,5.6223,0.0,1.0,0.0,1.947016,,,0.098,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,20eb9415-025f-4873-992e-5e56c592af5e,QDock FAM CQM-to-BQM hybrid,7efe45e7-2179-48b1-9a5d-b4fecf7549ec,1.947016,,29.999822,29.999822,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r3_20260126_002630/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r3_20260126_002630/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r3_20260126_002630/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r3_20260126_002630/result.json
opt,3nq9,cqm_opt_bqm_lm10_r4_20260126_002744,4,1.5,18.0,1.87,10.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.5724,5.5724,0.0,1.0,0.0,1.946478,,,0.184,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,fcff8801-c95e-4a26-9c6e-1bd3a6b2fb87,QDock FAM CQM-to-BQM hybrid,a13db922-7e36-4840-aca7-1acf5bb45f94,1.946478,,29.989618,29.989618,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r4_20260126_002744/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r4_20260126_002744/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r4_20260126_002744/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r4_20260126_002744/result.json
opt,3nq9,cqm_opt_bqm_lm10_r5_20260126_002857,5,1.5,18.0,1.87,10.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.7403,5.7403,0.0,1.0,0.0,1.946127,,,0.094,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,a3732033-85cc-4db6-9e45-f461045b1a6b,QDock FAM CQM-to-BQM hybrid,87eef223-f862-41f2-b637-d9df1ea4a41c,1.946127,,29.994753,29.994753,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r5_20260126_002857/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm10_r5_20260126_002857/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r5_20260126_002857/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm10_r5_20260126_002857/result.json
opt,3nq9,cqm_opt_bqm_lm30_r1_20260126_003015,1,1.5,18.0,1.87,30.0,0.0,1,1,1.0,8,-4.0,-4.0,1,3.8133,3.8133,0.0,1.0,0.0,1.990011,,,0.099,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,c3da3329-6009-4de7-948f-927a70048e4d,QDock FAM CQM-to-BQM hybrid,096691e0-5574-48b6-b1c2-f69c19ded8c2,1.990011,,29.996865,29.996865,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm30_r1_20260126_003015/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm30_r1_20260126_003015/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm30_r1_20260126_003015/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm30_r1_20260126_003015/result.json
opt,3nq9,cqm_opt_bqm_lm30_r2_20260126_003127,2,1.5,18.0,1.87,30.0,0.0,1,1,1.0,8,-4.0,-4.0,1,5.5602,5.5602,0.0,1.0,0.0,1.897431,,,0.097,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,e959564d-00e5-41e0-8a1f-4477b469c089,QDock FAM CQM-to-BQM hybrid,f5f0aadf-a81a-431e-a60e-23594395c105,1.897431,,29.986297,29.986297,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm30_r2_20260126_003127/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm30_r2_20260126_003127/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm30_r2_20260126_003127/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm30_r2_20260126_003127/result.json
opt,3nq9,cqm_opt_bqm_lm30_r3_20260126_003240,3,1.5,18.0,1.87,30.0,0.0,1,1,1.0,8,-4.0,-4.0,1,3.4231,3.4231,0.0,1.0,0.0,1.94398,,,0.095,DWaveHybridSamplerAdapter,,30,QDock FAM CQM-to-BQM hybrid,3598a163-31fd-4427-b05f-81aa2933a942,QDock FAM CQM-to-BQM hybrid,7788509f-c480-479c-b8e2-fe43c1ce4616,1.94398,,29.998722,29.998722,130,5154,"{'num_vars': 130, 'mono_constraints': 0, 'dist_constraints': 0, 'constraint_limit_hit': False}",,,,,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm,./benchmarks/cqm_opt_bqm_from_cqm_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm30_r3_20260126_003240/BQM/3nq9_ligand_samples.json,./benchmarks/cqm_opt_bqm_from_cqm/workdir_fam_bqm_from_cqm/3nq9/cqm_opt_bqm_lm30_r3_20260126_003240/BQM/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm30_r3_20260126_003240/3nq9_ligand_report.csv,./benchmarks/cqm_opt_bqm_from_cqm_eval/3nq9/cqm_opt_bqm_lm30_r3_20260126_003240/result.json
