annealing_time,chain_strength,repeat,ligand,case_name,run_tag,status,sample_log,eval_log,hash_ok,cached_ok,embedding_sha,qubo_sha
800,0.5,6,3nq9,3nq9_Kdist7.500_Kmono19.000,atsweep_3nq9_at800_cs0p5_r6_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r6_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r6_20260407_205920_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
800,0.75,6,4jsz,4jsz_Kdist0.500_Kmono1.000,atsweep_4jsz_at800_cs0p75_r6_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r6_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r6_20260407_205920_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
800,0.5,7,3nq9,3nq9_Kdist7.500_Kmono19.000,atsweep_3nq9_at800_cs0p5_r7_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r7_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r7_20260407_205920_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
800,0.75,7,4jsz,4jsz_Kdist0.500_Kmono1.000,atsweep_4jsz_at800_cs0p75_r7_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r7_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r7_20260407_205920_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
800,0.5,8,3nq9,3nq9_Kdist7.500_Kmono19.000,atsweep_3nq9_at800_cs0p5_r8_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r8_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r8_20260407_205920_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
800,0.75,8,4jsz,4jsz_Kdist0.500_Kmono1.000,atsweep_4jsz_at800_cs0p75_r8_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r8_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r8_20260407_205920_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
800,0.5,9,3nq9,3nq9_Kdist7.500_Kmono19.000,atsweep_3nq9_at800_cs0p5_r9_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r9_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r9_20260407_205920_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
800,0.75,9,4jsz,4jsz_Kdist0.500_Kmono1.000,atsweep_4jsz_at800_cs0p75_r9_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r9_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r9_20260407_205920_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
800,0.5,10,3nq9,3nq9_Kdist7.500_Kmono19.000,atsweep_3nq9_at800_cs0p5_r10_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r10_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_3nq9_at800_cs0p5_r10_20260407_205920_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
800,0.75,10,4jsz,4jsz_Kdist0.500_Kmono1.000,atsweep_4jsz_at800_cs0p75_r10_20260407_205920,ok,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r10_20260407_205920_sample.log,./annealing_time_sweep_qpu_fixedemb_v113_opt1_at800_r1to10/logs/atsweep_4jsz_at800_cs0p75_r10_20260407_205920_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
